,Player,Week,Opponet ,Win/Loss,Rushing Attempts,Total Rushing Yards,Rushing Touchdowns,Passes Targetted,Passes caught,Total passing yards,Recieving_Touchdowns,Fantasy Points Per Game
936, Keith Smith,7,LAR,L 10-37,0,0,0,1,0,0,0,0.0
937, Kenjon Barner,7,LAR,L 10-37,0,0,0,1,0,0,0,0.0
938, Devonta Freeman,8,SEA,L 20-27,13,39,0,8,8,63,0,10.2
939, Brian Hill,8,SEA,L 20-27,3,29,1,0,0,0,0,8.9
940, Kenjon Barner,8,SEA,L 20-27,1,1,0,0,0,0,0,0.1
941, Brian Hill,10,at NO,W 26-9,20,61,0,2,1,10,1,13.1
942, Devonta Freeman,10,at NO,W 26-9,10,38,0,4,3,10,0,4.8
943, Kenjon Barner,10,at NO,W 26-9,1,12,0,0,0,0,0,1.2
944, Qadree Ollison,11,at CAR,W 29-3,4,11,1,1,0,0,0,7.1
945, Brian Hill,11,at CAR,W 29-3,15,30,0,3,1,8,0,3.8
946, Kenjon Barner,11,at CAR,W 29-3,2,15,0,0,0,0,0,1.5
947, Keith Smith,11,at CAR,W 29-3,1,3,0,0,0,0,0,0.3
948, Qadree Ollison,12,TB,L 22-35,8,20,1,1,1,7,0,8.7
949, Brian Hill,12,TB,L 22-35,9,14,0,4,3,13,0,2.7
950, Kenjon Barner,12,TB,L 22-35,0,0,0,2,2,8,0,0.8
951, Devonta Freeman,13,NO,L 18-26,17,51,0,5,4,13,0,6.4
952, Brian Hill,13,NO,L 18-26,4,13,0,3,3,24,0,3.7
953, Kenjon Barner,13,NO,L 18-26,0,0,0,2,2,6,0,0.6
954, Keith Smith,13,NO,L 18-26,2,4,0,1,0,0,0,0.4
955, Devonta Freeman,14,CAR,W 40-20,17,84,1,4,4,10,0,15.4
956, Brian Hill,14,CAR,W 40-20,9,62,1,0,0,0,0,12.2
957, Qadree Ollison,14,CAR,W 40-20,4,6,0,0,0,0,0,0.6
958, Qadree Ollison,15,at SF,W 29-22,1,1,1,0,0,0,0,6.1
959, Devonta Freeman,15,at SF,W 29-22,12,39,0,3,2,16,0,5.5
960, Brian Hill,15,at SF,W 29-22,1,16,0,0,0,0,0,1.6
961, Kenjon Barner,15,at SF,W 29-22,0,0,0,2,1,4,0,0.4
962, Devonta Freeman,16,JAC,W 24-12,13,53,1,10,9,74,1,24.7
963, Brian Hill,16,JAC,W 24-12,7,66,0,0,0,0,0,6.6
964, Qadree Ollison,16,JAC,W 24-12,1,3,1,0,0,0,0,6.3
965, Keith Smith,16,JAC,W 24-12,0,0,0,1,1,13,0,1.3
966, Devonta Freeman,17,at TB,W 28-22,18,58,0,4,2,15,0,7.3
967, Brian Hill,17,at TB,W 28-22,5,21,0,0,0,0,0,2.1
968, Qadree Ollison,17,at TB,W 28-22,4,9,0,0,0,0,0,0.9
969, Keith Smith,17,at TB,W 28-22,1,-1,0,0,0,0,0,-0.1
970, James Conner,1,at NE,L 3-33,10,21,0,4,4,44,0,6.5
971, Jaylen Samuels,1,at NE,L 3-33,2,4,0,2,1,2,0,0.6
972, James Conner,2,SEA,L 26-28,11,33,1,4,3,12,0,10.5
973, Jaylen Samuels,2,SEA,L 26-28,3,18,0,1,1,13,0,3.1
974, Benny Snell,2,SEA,L 26-28,1,23,0,0,0,0,0,2.3
975, James Conner,3,at SF,L 20-24,13,43,0,4,4,14,0,5.7
976, Benny Snell,3,at SF,L 20-24,3,6,0,0,0,0,0,0.6
977, James Conner,4,CIN,W 27-3,10,42,0,8,8,83,1,18.5
978, Jaylen Samuels,4,CIN,W 27-3,10,26,1,8,8,57,0,14.3
979, Benny Snell,4,CIN,W 27-3,2,1,0,1,0,0,0,0.1
980, James Conner,5,BAL,L 23-26,14,55,1,0,0,0,0,11.5
981, Jaylen Samuels,5,BAL,L 23-26,3,2,0,4,3,11,0,1.3
982, James Conner,6,at LAC,W 24-17,16,41,1,7,7,78,1,23.9
983, Benny Snell,6,at LAC,W 24-17,17,75,0,1,1,14,0,8.9
984, James Conner,8,MIA,W 27-14,23,145,1,4,3,5,0,21.0
985, Benny Snell,8,MIA,W 27-14,5,13,0,0,0,0,0,1.3
986, Roosevelt Nix,8,MIA,W 27-14,0,0,0,2,2,4,0,0.4
987, Trey Edmunds,8,MIA,W 27-14,1,0,0,0,0,0,0,0.0
988, Jaylen Samuels,9,IND,W 26-24,8,10,0,13,13,73,0,8.3
989, Trey Edmunds,9,IND,W 26-24,12,73,0,0,0,0,0,7.3
990, Roosevelt Nix,9,IND,W 26-24,0,0,0,1,0,0,0,0.0
991, Tony Brooks-James,9,IND,W 26-24,1,0,0,0,0,0,0,0.0
992, Jaylen Samuels,10,LAR,W 17-12,14,29,0,7,3,11,0,4.0
993, Trey Edmunds,10,LAR,W 17-12,4,1,0,3,2,14,0,1.5
994, Tony Brooks-James,10,LAR,W 17-12,6,11,0,0,0,0,0,1.1
995, Jaylen Samuels,11,at CLE,L 7-21,5,26,0,6,5,19,1,10.5
996, Trey Edmunds,11,at CLE,L 7-21,3,11,0,3,3,27,0,3.8
997, James Conner,11,at CLE,L 7-21,5,10,0,2,1,6,0,1.6
998, Tony Brooks-James,11,at CLE,L 7-21,1,-4,0,0,0,0,0,-0.4
999, Benny Snell,12,at CIN,W 16-10,21,98,0,1,1,5,0,10.3
1000, Kerrith Whyte,12,at CIN,W 16-10,6,43,0,0,0,0,0,4.3
1001, Jaylen Samuels,12,at CIN,W 16-10,2,6,0,3,3,26,0,3.2
1002, Trey Edmunds,12,at CIN,W 16-10,2,7,0,0,0,0,0,0.7
1003, Benny Snell,13,CLE,W 20-13,16,63,1,1,1,4,0,12.7
1004, Jaylen Samuels,13,CLE,W 20-13,7,32,0,2,2,22,0,5.4
1005, Kerrith Whyte,13,CLE,W 20-13,3,10,0,0,0,0,0,1.0
1006, Kerrith Whyte,14,at ARI,W 23-17,5,41,0,1,1,9,0,5.0
1007, Benny Snell,14,at ARI,W 23-17,16,41,0,0,0,0,0,4.1
1008, Jaylen Samuels,14,at ARI,W 23-17,7,16,0,2,2,18,0,3.4
1009, Trey Edmunds,14,at ARI,W 23-17,0,0,0,1,1,7,0,0.7
1010, James Conner,15,BUF,L 10-17,8,42,0,5,4,9,1,11.1
1011, Kerrith Whyte,15,BUF,L 10-17,1,5,0,0,0,0,0,0.5
1012, Jaylen Samuels,15,BUF,L 10-17,2,-1,0,1,1,5,0,0.4
1013, Benny Snell,15,BUF,L 10-17,2,1,0,0,0,0,0,0.1
1014, Jaylen Samuels,16,at NYJ,L 10-16,3,7,0,6,4,32,0,3.9
1015, James Conner,16,at NYJ,L 10-16,6,32,0,0,0,0,0,3.2
1016, Kerrith Whyte,16,at NYJ,L 10-16,6,22,0,0,0,0,0,2.2
1017, Benny Snell,16,at NYJ,L 10-16,7,14,0,0,0,0,0,1.4
1018, Benny Snell,17,at BAL,L 10-28,18,91,1,0,0,0,0,15.1
1019, Jaylen Samuels,17,at BAL,L 10-28,0,0,0,2,1,16,0,1.6
1020, Kerrith Whyte,17,at BAL,L 10-28,3,1,0,0,0,0,0,0.1
1021, Saquon Barkley,1,at DAL,L 17-35,11,120,0,6,4,19,0,13.9
1022, Wayne Gallman,1,at DAL,L 17-35,2,17,1,3,3,24,0,10.1
1023, Elijhaa Penny,1,at DAL,L 17-35,2,3,0,0,0,0,0,0.3
1024, Saquon Barkley,2,BUF,L 14-28,18,107,1,7,3,28,0,19.5
1025, Wayne Gallman,2,BUF,L 14-28,0,0,0,1,0,0,0,0.0
1026, Saquon Barkley,3,at TB,W 32-31,8,10,0,5,4,27,0,3.7
1027, Wayne Gallman,3,at TB,W 32-31,5,13,0,0,0,0,0,1.3
1028, Wayne Gallman,4,WAS,W 24-3,18,63,1,7,6,55,1,23.8
1029, Jonathan Hilliman,4,WAS,W 24-3,10,33,0,0,0,0,0,3.3
1030, Elijhaa Penny,4,WAS,W 24-3,3,12,0,0,0,0,0,1.2
1031, Elijhaa Penny,5,MIN,L 10-28,3,15,0,1,1,9,0,2.4
1032, Jonathan Hilliman,5,MIN,L 10-28,9,20,0,2,1,4,0,2.4
1033, Wayne Gallman,5,MIN,L 10-28,2,14,0,0,0,0,0,1.4
1034, Jonathan Hilliman,6,at NE,L 14-35,11,38,0,2,2,-3,0,3.5
1035, Elijhaa Penny,6,at NE,L 14-35,3,6,0,2,1,0,0,0.6
1036, Saquon Barkley,7,ARI,L 21-27,18,72,1,5,3,8,0,14.0
1037, Saquon Barkley,8,at DET,L 26-31,19,64,0,10,8,79,1,20.3
1038, Wayne Gallman,8,at DET,L 26-31,0,0,0,1,1,20,0,2.0
1039, Elijhaa Penny,8,at DET,L 26-31,1,3,0,0,0,0,0,0.3
1040, Saquon Barkley,9,DAL,L 18-37,14,28,0,8,6,67,0,9.5
1041, Wayne Gallman,9,DAL,L 18-37,0,0,0,1,0,0,0,0.0
1042, Saquon Barkley,10,at NYJ,L 27-34,13,1,0,5,5,30,0,3.1
1043, Wayne Gallman,10,at NYJ,L 27-34,1,2,0,2,1,3,0,0.5
1044, Saquon Barkley,12,at CHI,L 14-19,17,59,0,3,2,1,0,6.0
1045, Wayne Gallman,12,at CHI,L 14-19,1,1,0,0,0,0,0,0.1
1046, Saquon Barkley,13,GB,L 13-31,19,83,0,7,3,32,0,11.5
1047, Javorius Allen,13,GB,L 13-31,1,4,0,0,0,0,0,0.4
1048, Elijhaa Penny,13,GB,L 13-31,2,2,0,1,0,0,0,0.2
1049, Saquon Barkley,14,at PHI,L 17-23,17,66,0,4,3,1,0,6.7
1050, Saquon Barkley,15,MIA,W 36-20,24,112,2,5,4,31,0,26.3
1051, Javorius Allen,15,MIA,W 36-20,8,28,1,0,0,0,0,8.8
1052, Elijhaa Penny,15,MIA,W 36-20,1,-2,0,0,0,0,0,-0.2
1053, Saquon Barkley,16,at WAS,W 41-35,22,189,1,4,4,90,1,39.9
1054, Saquon Barkley,17,PHI,L 17-34,17,92,1,4,3,25,0,17.7
1055, Javorius Allen,17,PHI,L 17-34,1,4,0,2,1,9,0,1.3
1056, Chris Thompson,1,at PHI,L 27-32,3,10,0,10,7,68,0,7.8
1057, Derrius Guice,1,at PHI,L 27-32,10,18,0,3,3,20,0,3.8
1058, Adrian Peterson,2,DAL,L 21-31,10,25,1,2,2,7,0,9.2
1059, Chris Thompson,2,DAL,L 21-31,2,3,0,8,5,48,0,5.1
1060, Wendell Smallwood,2,DAL,L 21-31,1,4,0,2,2,9,0,1.3
1061, Chris Thompson,3,CHI,L 15-31,7,29,0,5,4,79,0,10.8
1062, Adrian Peterson,3,CHI,L 15-31,12,37,0,3,1,-3,0,3.4
1063, Chris Thompson,4,at NYG,L 3-24,4,4,0,5,4,56,0,6.0
1064, Adrian Peterson,4,at NYG,L 3-24,11,28,0,0,0,0,0,2.8
1065, Wendell Smallwood,4,at NYG,L 3-24,0,0,0,1,1,14,0,1.4
1066, Chris Thompson,5,NE,L 7-33,4,21,0,7,5,17,0,3.8
1067, Wendell Smallwood,5,NE,L 7-33,6,27,0,0,0,0,0,2.7
1068, Adrian Peterson,5,NE,L 7-33,7,18,0,0,0,0,0,1.8
1069, Adrian Peterson,6,at MIA,W 17-16,23,118,0,2,2,18,0,13.6
1070, Chris Thompson,6,at MIA,W 17-16,3,12,0,3,2,8,0,2.0
1071, Wendell Smallwood,6,at MIA,W 17-16,1,4,0,0,0,0,0,0.4
1072, Adrian Peterson,7,SF,L 0-9,20,81,0,0,0,0,0,8.1
1073, Wendell Smallwood,7,SF,L 0-9,5,23,0,1,1,18,0,4.1
1074, Adrian Peterson,8,at MIN,L 9-19,14,76,0,2,2,27,0,10.3
1075, Wendell Smallwood,8,at MIN,L 9-19,2,9,0,2,1,11,0,2.0
1076, Adrian Peterson,9,at BUF,L 9-24,18,108,0,1,1,22,0,13.0
1077, Wendell Smallwood,9,at BUF,L 9-24,2,5,0,3,2,-2,0,0.3
1078, Derrius Guice,11,NYJ,L 17-34,7,24,0,2,1,45,1,12.9
1079, Adrian Peterson,11,NYJ,L 17-34,9,25,0,2,2,5,0,3.0
1080, Wendell Smallwood,11,NYJ,L 17-34,0,0,0,3,1,11,0,1.1
1081, Michael Burton,11,NYJ,L 17-34,0,0,0,1,0,0,0,0.0
1082, Adrian Peterson,12,DET,W 19-16,10,27,0,1,1,22,0,4.9
1083, Derrius Guice,12,DET,W 19-16,10,32,0,2,1,6,0,3.8
1084, Wendell Smallwood,12,DET,W 19-16,0,0,0,1,1,3,0,0.3
1085, Derrius Guice,13,at CAR,W 29-21,10,129,2,2,2,8,0,25.7
1086, Adrian Peterson,13,at CAR,W 29-21,13,99,1,1,0,0,0,15.9
1087, Chris Thompson,13,at CAR,W 29-21,3,14,0,2,1,15,0,2.9
1088, Adrian Peterson,14,at GB,L 15-20,20,76,1,0,0,0,0,13.6
1089, Chris Thompson,14,at GB,L 15-20,0,0,0,8,7,43,0,4.3
1090, Derrius Guice,14,at GB,L 15-20,5,42,0,0,0,0,0,4.2
1091, Wendell Smallwood,14,at GB,L 15-20,2,4,0,0,0,0,0,0.4
1092, Adrian Peterson,15,PHI,L 27-37,16,66,1,3,3,25,0,15.1
1093, Chris Thompson,15,PHI,L 27-37,0,0,0,3,2,26,0,2.6
1094, Josh Ferguson,15,PHI,L 27-37,3,9,0,0,0,0,0,0.9
1095, Adrian Peterson,16,NYG,L 35-41,15,36,1,2,2,19,0,11.5
1096, Chris Thompson,16,NYG,L 35-41,8,34,0,4,4,18,0,5.2
1097, Adrian Peterson,17,at DAL,L 16-47,13,78,0,4,1,0,0,7.8
1098, Chris Thompson,17,at DAL,L 16-47,3,11,0,3,1,0,0,1.1
1099, Wendell Smallwood,17,at DAL,L 16-47,3,5,0,0,0,0,0,0.5
1100, Tarik Cohen,1,GB,L 3-10,0,0,0,10,8,49,0,4.9
1101, David Montgomery,1,GB,L 3-10,6,18,0,1,1,27,0,4.5
1102, Mike Davis,1,GB,L 3-10,5,19,0,7,6,17,0,3.6
1103, David Montgomery,2,at DEN,W 16-14,18,62,1,3,1,6,0,12.8
1104, Tarik Cohen,2,at DEN,W 16-14,4,18,0,5,2,7,0,2.5
1105, Mike Davis,2,at DEN,W 16-14,3,1,0,0,0,0,0,0.1
1106, David Montgomery,3,at WAS,W 31-15,13,67,0,3,3,14,0,8.1
1107, Tarik Cohen,3,at WAS,W 31-15,4,-2,0,4,2,26,0,2.4
1108, Mike Davis,3,at WAS,W 31-15,1,2,0,0,0,0,0,0.2
1109, Tarik Cohen,4,MIN,W 16-6,5,11,0,5,2,7,1,7.8
1110, David Montgomery,4,MIN,W 16-6,21,53,0,5,3,14,0,6.7
1111, David Montgomery,5,at LV,L 21-24,11,25,1,1,1,11,0,9.6
1112, Tarik Cohen,5,at LV,L 21-24,4,10,0,7,6,39,0,4.9
1113, Tarik Cohen,7,NO,L 25-36,3,10,0,12,9,19,0,2.9
1114, David Montgomery,7,NO,L 25-36,2,6,0,2,2,13,0,1.9
1115, David Montgomery,8,LAC,L 16-17,27,135,1,5,4,12,0,20.7
1116, Tarik Cohen,8,LAC,L 16-17,4,9,0,3,3,37,0,4.6
1117, Mike Davis,8,LAC,L 16-17,2,3,0,1,1,5,0,0.8
1118, David Montgomery,9,at PHI,L 14-22,14,40,2,4,3,36,0,19.6
1119, Tarik Cohen,9,at PHI,L 14-22,2,7,0,5,2,9,0,1.6
1120, Tarik Cohen,10,DET,W 20-13,3,14,0,4,4,23,1,9.7
1121, David Montgomery,10,DET,W 20-13,17,60,0,0,0,0,0,6.0
1122, Tarik Cohen,11,at LAR,L 7-17,9,39,0,6,5,35,1,13.4
1123, David Montgomery,11,at LAR,L 7-17,14,31,0,3,1,19,0,5.0
1124, Tarik Cohen,12,NYG,W 19-14,6,25,0,9,7,29,0,5.4
1125, David Montgomery,12,NYG,W 19-14,13,22,0,3,2,9,0,3.1
1126, David Montgomery,13,at DET,W 24-20,16,75,0,2,2,12,1,14.7
1127, Tarik Cohen,13,at DET,W 24-20,3,9,0,4,4,26,0,3.5
1128, David Montgomery,14,DAL,W 31-24,20,86,0,1,0,0,0,8.6
1129, Tarik Cohen,14,DAL,W 31-24,3,7,0,6,6,24,0,3.1
1130, Tarik Cohen,15,at GB,L 13-21,8,28,0,10,7,57,0,8.5
1131, David Montgomery,15,at GB,L 13-21,14,39,0,1,1,10,0,4.9
1132, David Montgomery,16,KC,L 3-26,13,57,0,1,1,2,0,5.9
1133, Tarik Cohen,16,KC,L 3-26,2,8,0,4,3,25,0,3.3
1134, David Montgomery,17,at MIN,W 21-19,23,113,1,0,0,0,0,17.3
1135, Tarik Cohen,17,at MIN,W 21-19,4,20,0,10,9,44,0,6.4
1136, Ryan Nall,17,at MIN,W 21-19,2,8,0,0,0,0,0,0.8
1137,Kerryon Johnson,1,at ARI,T,16,49,0,2,2,13,0,6.2
1138, C.J. Anderson,1,at ARI,T,11,35,0,0,0,0,0,3.5
1139, J.D. McKissic,1,at ARI,T,0,0,0,2,2,24,0,2.4
1140, Ty Johnson,1,at ARI,T,1,6,0,0,0,0,0,0.6
1141, Nick Bawden,1,at ARI,T,0,0,0,1,1,0,0,0.0
1142, Kerryon Johnson,2,LAC,W 13-10,12,41,0,3,2,47,1,14.8
1143, Ty Johnson,2,LAC,W 13-10,5,30,0,2,2,6,0,3.6
1144, C.J. Anderson,2,LAC,W 13-10,5,8,0,0,0,0,0,0.8
1145, J.D. McKissic,2,LAC,W 13-10,2,2,0,0,0,0,0,0.2
1146, Kerryon Johnson,3,at PHI,W 27-24,20,36,1,1,1,7,0,10.3
1147, J.D. McKissic,3,at PHI,W 27-24,1,44,0,0,0,0,0,4.4
1148, Nick Bawden,3,at PHI,W 27-24,0,0,0,1,1,10,0,1.0
1149, Ty Johnson,3,at PHI,W 27-24,4,5,0,2,1,0,0,0.5
1150, Kerryon Johnson,4,KC,L 30-34,26,125,0,3,2,32,0,15.7
1151, J.D. McKissic,4,KC,L 30-34,4,30,0,2,1,11,0,4.1
1152, Ty Johnson,4,KC,L 30-34,3,13,0,1,1,1,0,1.4
1153, Nick Bawden,4,KC,L 30-34,0,0,0,2,1,4,0,0.4
1154, Kerryon Johnson,6,at GB,L 22-23,13,34,1,4,2,27,0,12.1
1155, J.D. McKissic,6,at GB,L 22-23,3,4,0,3,2,7,0,1.1
1156, Nick Bawden,6,at GB,L 22-23,0,0,0,1,0,0,0,0.0
1157, J.D. McKissic,7,MIN,L 30-42,5,29,0,3,2,31,0,6.0
1158, Ty Johnson,7,MIN,L 30-42,10,29,0,4,4,28,0,5.7
1159, Kerryon Johnson,7,MIN,L 30-42,5,23,0,1,0,0,0,2.3
1160, Ty Johnson,8,NYG,W 31-26,7,25,0,4,1,13,0,3.8
1161, Tra Carson,8,NYG,W 31-26,12,34,0,0,0,0,0,3.4
1162, Paul Perkins,8,NYG,W 31-26,3,4,0,0,0,0,0,0.4
1163, J.D. McKissic,8,NYG,W 31-26,1,-1,0,3,3,2,0,0.1
1164, J.D. McKissic,9,at LV,L 24-31,4,32,0,4,3,40,1,13.2
1165, Ty Johnson,9,at LV,L 24-31,9,29,0,3,3,7,0,3.6
1166, Paul Perkins,9,at LV,L 24-31,2,16,0,0,0,0,0,1.6
1167, J.D. McKissic,10,at CHI,L 13-20,10,36,0,7,6,19,0,5.5
1168, Ty Johnson,10,at CHI,L 13-20,5,16,0,1,1,3,0,1.9
1169, Paul Perkins,10,at CHI,L 13-20,7,9,0,1,1,9,0,1.8
1170, Nick Bawden,10,at CHI,L 13-20,0,0,0,1,1,3,0,0.3
1171, Bo Scarbrough,11,DAL,L 27-35,14,55,1,0,0,0,0,11.5
1172, J.D. McKissic,11,DAL,L 27-35,3,13,0,4,3,40,0,5.3
1173, Ty Johnson,11,DAL,L 27-35,2,6,0,1,1,0,0,0.6
1174, Bo Scarbrough,12,at WAS,L 16-19,18,98,0,1,0,0,0,9.8
1175, Ty Johnson,12,at WAS,L 16-19,4,11,0,2,2,10,0,2.1
1176, J.D. McKissic,12,at WAS,L 16-19,1,3,0,2,2,17,0,2.0
1177, Bo Scarbrough,13,CHI,L 20-24,21,83,0,0,0,0,0,8.3
1178, Ty Johnson,13,CHI,L 20-24,3,12,0,3,3,17,0,2.9
1179, J.D. McKissic,13,CHI,L 20-24,2,9,0,3,3,15,0,2.4
1180, Bo Scarbrough,14,at MIN,L 7-20,19,65,0,3,1,5,0,7.0
1181, J.D. McKissic,14,at MIN,L 7-20,1,2,0,4,4,16,0,1.8
1182, Ty Johnson,14,at MIN,L 7-20,2,3,0,1,1,7,0,1.0
1183, Wes Hills,15,TB,L 17-38,10,21,2,2,2,1,0,14.2
1184, Ty Johnson,15,TB,L 17-38,2,3,0,5,4,17,0,2.0
1185, J.D. McKissic,15,TB,L 17-38,1,2,0,3,2,7,0,0.9
1186, Kerryon Johnson,16,at DEN,L 17-27,10,42,0,1,1,1,0,4.3
1187, Bo Scarbrough,16,at DEN,L 17-27,8,34,0,0,0,0,0,3.4
1188, Ty Johnson,16,at DEN,L 17-27,3,20,0,0,0,0,0,2.0
1189, Kerryon Johnson,17,GB,L 20-23,11,53,1,0,0,0,0,11.3
1190, Ty Johnson,17,GB,L 20-23,3,65,0,2,0,0,0,6.5
1191, Bo Scarbrough,17,GB,L 20-23,9,42,0,0,0,0,0,4.2
1192, J.D. McKissic,17,GB,L 20-23,0,0,0,2,1,4,0,0.4
1193,Giovani Bernard,1,at SEA,L 20-21,7,21,0,3,2,42,0,6.3
1194, Joe Mixon,1,at SEA,L 20-21,6,10,0,3,2,7,0,1.7
1195, Joe Mixon,2,SF,L 17-41,11,17,0,5,3,10,0,2.7
1196, Giovani Bernard,2,SF,L 17-41,6,6,0,3,1,7,0,1.3
1197, Joe Mixon,3,at BUF,L 17-21,15,60,0,2,2,34,1,15.4
1198, Giovani Bernard,3,at BUF,L 17-21,3,5,0,2,2,7,0,1.2
1199, Joe Mixon,4,at PIT,L 3-27,15,62,0,5,4,1,0,6.3
1200, Giovani Bernard,4,at PIT,L 3-27,1,3,0,6,4,16,0,1.9
1201, Joe Mixon,5,ARI,L 23-26,19,93,0,1,1,16,0,10.9
1202, Giovani Bernard,5,ARI,L 23-26,2,10,0,3,3,16,0,2.6
1203, Joe Mixon,6,at BAL,L 17-23,8,10,0,3,2,29,0,3.9
1204, Giovani Bernard,6,at BAL,L 17-23,4,4,0,3,2,20,0,2.4
1205, Joe Mixon,7,JAC,L 17-27,10,2,0,2,1,2,1,6.4
1206, Giovani Bernard,7,JAC,L 17-27,4,0,0,3,2,4,0,0.4
1207, Joe Mixon,8,at LAR,L 10-24,17,66,0,4,4,11,1,13.7
1208, Giovani Bernard,8,at LAR,L 10-24,3,31,0,2,2,14,0,4.5
1209, Joe Mixon,10,BAL,L 13-49,30,114,0,3,2,37,0,15.1
1210, Giovani Bernard,10,BAL,L 13-49,4,8,0,1,1,0,0,0.8
1211, Joe Mixon,11,at LV,L 10-17,15,86,1,3,1,17,0,16.3
1212, Giovani Bernard,11,at LV,L 10-17,3,30,0,3,1,16,0,4.6
1213, Joe Mixon,12,PIT,L 10-16,18,79,0,0,0,0,0,7.9
1214, Giovani Bernard,12,PIT,L 10-16,1,-1,0,3,3,31,0,3.0
1215, Joe Mixon,13,NYJ,W 22-6,19,44,1,4,4,26,0,13.0
1216, Giovani Bernard,13,NYJ,W 22-6,1,4,0,2,1,8,0,1.2
1217, Joe Mixon,14,at CLE,L 19-27,23,146,1,4,3,40,0,24.6
1218, Giovani Bernard,14,at CLE,L 19-27,4,15,0,3,2,31,0,4.6
1219, Joe Mixon,15,NE,L 13-34,25,136,0,3,3,20,0,15.6
1220, Giovani Bernard,15,NE,L 13-34,5,27,0,2,2,10,0,3.7
1221, Joe Mixon,16,at MIA,L 35-38,21,50,0,2,2,23,0,7.3
1222, Giovani Bernard,16,at MIA,L 35-38,2,3,0,3,2,12,0,1.5
1223, Joe Mixon,17,CLE,W 33-23,26,162,2,1,1,14,0,29.6
1224, Giovani Bernard,17,CLE,W 33-23,3,4,0,1,0,0,0,0.4
1225,Leonard Fournette,1,KC,L 26-40,13,66,0,6,4,28,0,9.4
1226, Ryquell Armstead,1,KC,L 26-40,1,7,0,1,0,0,0,0.7
1227, Leonard Fournette,2,at HOU,L 12-13,15,47,0,6,4,40,0,8.7
1228, Leonard Fournette,3,TEN,W 20-7,15,66,0,8,6,26,0,9.2
1229, Leonard Fournette,4,at DEN,W 26-24,29,225,0,3,2,20,0,24.5
1230, Ryquell Armstead,4,at DEN,W 26-24,8,42,0,1,1,7,1,10.9
1231, Leonard Fournette,5,at CAR,L 27-34,23,108,1,7,4,29,0,19.7
1232, Ryquell Armstead,5,at CAR,L 27-34,1,-1,0,1,1,7,0,0.6
1233, Leonard Fournette,6,NO,L 6-13,20,72,0,6,6,46,0,11.8
1234, Ryquell Armstead,6,NO,L 6-13,1,1,0,0,0,0,0,0.1
1235, Leonard Fournette,7,at CIN,W 27-17,29,131,0,2,2,14,0,14.5
1236, Ryquell Armstead,7,at CIN,W 27-17,3,3,0,1,0,0,0,0.3
1237, Leonard Fournette,8,NYJ,W 29-15,19,76,0,7,7,60,0,13.6
1238, Ryquell Armstead,8,NYJ,W 29-15,6,7,0,0,0,0,0,0.7
1239, Leonard Fournette,9,HOU,L 3-26,11,40,0,6,5,32,0,7.2
1240, Ryquell Armstead,9,HOU,L 3-26,0,0,0,5,5,65,0,6.5
1241, Leonard Fournette,11,at IND,L 13-33,8,23,0,7,7,34,0,5.7
1242, Ryquell Armstead,11,at IND,L 13-33,1,6,0,2,2,13,0,1.9
1243, Leonard Fournette,12,at TEN,L 20-42,24,97,2,12,9,62,0,27.9
1244, Ryquell Armstead,12,at TEN,L 20-42,0,0,0,1,0,0,0,0.0
1245, Leonard Fournette,13,TB,L 11-28,14,38,0,11,9,53,0,9.1
1246, Ryquell Armstead,13,TB,L 11-28,0,0,0,1,0,0,0,0.0
1247, Leonard Fournette,14,LAC,L 10-45,15,50,0,6,3,13,0,6.3
1248, Ryquell Armstead,14,LAC,L 10-45,2,7,0,2,0,0,0,0.7
1249, Leonard Fournette,15,at LV,W 20-16,15,42,0,7,5,31,0,7.3
1250, Ryquell Armstead,15,at LV,W 20-16,1,1,0,0,0,0,0,0.1
1251, Leonard Fournette,16,at ATL,L 12-24,15,71,0,6,3,34,0,10.5
1252, Ryquell Armstead,16,at ATL,L 12-24,1,2,0,0,0,0,0,0.2
1253, Ryquell Armstead,17,IND,W 38-20,10,33,0,9,5,52,1,14.5
1254, Devine Ozigbo,17,IND,W 38-20,9,27,0,5,3,23,0,5.0
1255,Devin Singletary,1,at NYJ,W 17-16,4,70,0,6,5,28,0,9.8
1256, Frank Gore,1,at NYJ,W 17-16,11,20,0,0,0,0,0,2.0
1257, Patrick DiMarco,1,at NYJ,W 17-16,0,0,0,2,2,9,0,0.9
1258, Frank Gore,2,at NYG,W 28-14,19,68,1,2,2,15,0,14.3
1259, Devin Singletary,2,at NYG,W 28-14,6,57,1,0,0,0,0,11.7
1260, Patrick DiMarco,2,at NYG,W 28-14,1,1,0,1,1,3,0,0.4
1261, Frank Gore,3,CIN,W 21-17,14,76,1,2,2,13,0,14.9
1262, T.J. Yeldon,3,CIN,W 21-17,8,30,0,3,2,19,0,4.9
1263, Frank Gore,4,NE,L 10-16,17,109,0,1,0,0,0,10.9
1264, T.J. Yeldon,4,NE,L 10-16,0,0,0,4,4,68,0,6.8
1265, Frank Gore,5,at TEN,W 14-7,14,60,0,2,2,9,0,6.9
1266, T.J. Yeldon,5,at TEN,W 14-7,2,15,0,4,4,13,0,2.8
1267, Frank Gore,7,MIA,W 31-21,11,55,0,1,1,11,0,6.6
1268, Patrick DiMarco,7,MIA,W 31-21,1,4,0,1,1,27,0,3.1
