Player,Week,Opponet ,Win/Loss,Rushing Attempts,Total Rushing Yards,Rushing Touchdowns,Passes Targetted,Passes caught,Total passing yards,Recieving_Touchdowns,Fantasy Points Per Game
 Damien Williams,8,GB,L 24-31,7,30,1,0,0,0,0,9.0
 LeSean McCoy,8,GB,L 24-31,9,40,0,4,4,23,0,6.3
 Darrel Williams,8,GB,L 24-31,2,10,0,0,0,0,0,1.0
 Darwin Thompson,8,GB,L 24-31,0,0,0,1,1,-1,0,-0.1
 Damien Williams,9,MIN,W 26-23,12,125,1,2,2,3,0,18.8
 LeSean McCoy,9,MIN,W 26-23,3,9,0,1,1,0,0,0.9
 Darrel Williams,9,MIN,W 26-23,1,1,0,0,0,0,0,0.1
 Damien Williams,10,at TEN,L 32-35,19,77,0,5,5,32,0,10.9
 Darrel Williams,10,at TEN,L 32-35,2,6,0,1,1,9,0,1.5
 Darwin Thompson,10,at TEN,L 32-35,1,-1,0,1,1,8,0,0.7
 LeSean McCoy,11,at LAC,W 24-17,7,29,1,6,4,28,0,11.7
 Darrel Williams,11,at LAC,W 24-17,11,35,1,3,2,8,0,10.3
 Damien Williams,11,at LAC,W 24-17,4,7,0,1,1,6,0,1.3
 Darwin Thompson,13,LV,W 40-9,11,44,1,0,0,0,0,10.4
 LeSean McCoy,13,LV,W 40-9,5,10,1,3,3,20,0,9.0
 Darrel Williams,13,LV,W 40-9,6,13,0,2,1,3,1,7.6
 Anthony Sherman,13,LV,W 40-9,1,0,0,1,1,7,0,0.7
 Darwin Thompson,14,at NE,W 23-16,4,7,0,5,4,36,0,4.3
 LeSean McCoy,14,at NE,W 23-16,11,39,0,3,1,4,0,4.3
 Spencer Ware,14,at NE,W 23-16,5,11,0,2,1,-9,0,0.2
 Darwin Thompson,15,DEN,W 23-3,8,38,0,1,1,1,0,3.9
 Spencer Ware,15,DEN,W 23-3,7,26,0,2,2,9,0,3.5
 LeSean McCoy,15,DEN,W 23-3,6,16,0,0,0,0,0,1.6
 Damien Williams,16,at CHI,W 26-3,16,65,0,3,3,27,1,15.2
 Spencer Ware,16,at CHI,W 26-3,5,14,0,3,2,22,0,3.6
 Darwin Thompson,16,at CHI,W 26-3,5,14,0,0,0,0,0,1.4
 Damien Williams,17,LAC,W 31-21,12,124,2,7,4,30,0,27.4
 Darwin Thompson,17,LAC,W 31-21,4,17,0,1,1,-4,0,1.3
Ronald Jones,1,SF,L 17-31,13,75,0,1,1,18,0,9.3
 Peyton Barber,1,SF,L 17-31,8,33,0,4,2,12,0,4.5
 Dare Ogunbowale,1,SF,L 17-31,0,0,0,5,4,33,0,3.3
 Peyton Barber,2,at CAR,W 20-14,23,82,1,1,1,7,0,14.9
 Dare Ogunbowale,2,at CAR,W 20-14,0,0,0,1,1,9,0,0.9
 Ronald Jones,2,at CAR,W 20-14,4,9,0,0,0,0,0,0.9
 Ronald Jones,3,NYG,L 31-32,14,80,0,1,1,41,0,12.1
 Peyton Barber,3,NYG,L 31-32,13,48,0,2,2,7,0,5.5
 Dare Ogunbowale,3,NYG,L 31-32,0,0,0,3,3,23,0,2.3
 Ronald Jones,4,at LAR,W 55-40,19,70,1,1,1,12,0,14.2
 Peyton Barber,4,at LAR,W 55-40,9,19,1,1,0,0,0,7.9
 Dare Ogunbowale,4,at LAR,W 55-40,1,0,0,4,3,16,0,1.6
 Peyton Barber,5,at NO,L 24-31,8,32,1,1,1,-1,0,9.1
 Ronald Jones,5,at NO,L 24-31,9,35,0,3,2,21,0,5.6
 Dare Ogunbowale,5,at NO,L 24-31,1,-4,0,3,2,27,0,2.3
 Dare Ogunbowale,6,CAR,L 26-37,1,3,1,5,3,22,0,8.5
 Ronald Jones,6,CAR,L 26-37,4,10,1,0,0,0,0,7.0
 Peyton Barber,6,CAR,L 26-37,8,28,0,0,0,0,0,2.8
 Ronald Jones,8,at TEN,L 23-27,11,35,0,3,1,17,0,5.2
 Peyton Barber,8,at TEN,L 23-27,10,20,0,3,1,8,0,2.8
 Dare Ogunbowale,8,at TEN,L 23-27,1,-2,0,3,1,3,0,0.1
 Ronald Jones,9,at SEA,L 34-40,18,67,1,2,2,15,0,14.2
 Dare Ogunbowale,9,at SEA,L 34-40,1,1,1,1,1,12,0,7.3
 Peyton Barber,9,at SEA,L 34-40,4,15,0,0,0,0,0,1.5
 Ronald Jones,10,ARI,W 30-27,11,29,1,8,8,77,0,16.6
 Peyton Barber,10,ARI,W 30-27,11,43,1,1,1,4,0,10.7
 Dare Ogunbowale,10,ARI,W 30-27,0,0,0,3,3,24,0,2.4
 Peyton Barber,11,NO,L 17-34,0,0,0,2,2,11,1,7.1
 Ronald Jones,11,NO,L 17-34,4,13,0,4,2,1,0,1.4
 Dare Ogunbowale,11,NO,L 17-34,2,0,0,4,3,10,0,1.0
 Ronald Jones,12,at ATL,W 35-22,12,51,1,3,3,16,0,12.7
 Peyton Barber,12,at ATL,W 35-22,11,32,0,1,0,0,0,3.2
 Dare Ogunbowale,12,at ATL,W 35-22,1,12,0,1,0,0,0,1.2
 Peyton Barber,13,at JAC,W 28-11,17,44,2,0,0,0,0,16.4
 Dare Ogunbowale,13,at JAC,W 28-11,1,0,0,2,2,12,0,1.2
 Ronald Jones,13,at JAC,W 28-11,6,8,0,0,0,0,0,0.8
 Ronald Jones,14,IND,W 38-35,11,36,0,5,4,23,0,5.9
 Peyton Barber,14,IND,W 38-35,11,34,0,2,2,19,0,5.3
 Dare Ogunbowale,14,IND,W 38-35,0,0,0,5,5,48,0,4.8
 Ronald Jones,15,at DET,W 38-17,11,23,0,3,1,26,0,4.9
 Peyton Barber,15,at DET,W 38-17,10,17,0,2,2,23,0,4.0
 Dare Ogunbowale,15,at DET,W 38-17,1,3,0,1,1,13,0,1.6
 Ronald Jones,16,HOU,L 20-23,14,77,1,4,3,32,0,16.9
 Dare Ogunbowale,16,HOU,L 20-23,0,0,0,5,3,34,0,3.4
 Peyton Barber,16,HOU,L 20-23,5,13,0,0,0,0,0,1.3
 Ronald Jones,17,ATL,L 22-28,11,106,0,2,2,10,0,11.6
 Peyton Barber,17,ATL,L 22-28,6,10,0,4,2,25,0,3.5
 Dare Ogunbowale,17,ATL,L 22-28,1,4,0,0,0,0,0,0.4
 Phillip Lindsay,1,at LV,L 16-24,11,43,0,6,4,23,0,6.6
 Royce Freeman,1,at LV,L 16-24,10,56,0,1,1,5,0,6.1
 Royce Freeman,2,CHI,L 14-16,11,54,0,7,5,48,0,10.2
 Phillip Lindsay,2,CHI,L 14-16,13,36,0,7,4,30,0,6.6
 Phillip Lindsay,3,at GB,L 16-27,21,81,2,5,4,49,0,25.0
 Royce Freeman,3,at GB,L 16-27,15,63,0,5,4,10,0,7.3
 Phillip Lindsay,4,JAC,L 24-26,9,53,0,1,1,7,0,6.0
 Royce Freeman,4,JAC,L 24-26,6,16,0,6,4,34,0,5.0
 Phillip Lindsay,5,at LAC,W 20-13,15,114,1,4,4,33,0,20.7
 Royce Freeman,5,at LAC,W 20-13,13,61,0,2,2,6,0,6.7
 Phillip Lindsay,6,TEN,W 16-0,15,70,1,3,2,5,0,13.5
 Royce Freeman,6,TEN,W 16-0,11,34,0,5,5,42,0,7.6
 Andy Janovich,6,TEN,W 16-0,0,0,0,1,1,8,0,0.8
 Royce Freeman,7,KC,L 6-30,10,35,1,5,4,32,0,12.7
 Phillip Lindsay,7,KC,L 6-30,11,36,0,1,1,-4,0,3.2
 Andy Janovich,7,KC,L 6-30,0,0,0,1,1,22,0,2.2
 Royce Freeman,8,at IND,L 13-15,12,40,1,2,1,5,0,10.5
 Phillip Lindsay,8,at IND,L 13-15,14,59,0,5,5,17,0,7.6
 Andy Janovich,8,at IND,L 13-15,0,0,0,2,2,9,0,0.9
 Phillip Lindsay,9,CLE,W 24-19,9,92,1,0,0,0,0,15.2
 Royce Freeman,9,CLE,W 24-19,5,15,0,1,1,-1,0,1.4
 Devontae Booker,9,CLE,W 24-19,0,0,0,1,1,14,0,1.4
 Phillip Lindsay,11,at MIN,L 23-27,16,67,0,2,2,8,0,7.5
 Andy Janovich,11,at MIN,L 23-27,1,1,1,1,1,3,0,6.4
 Royce Freeman,11,at MIN,L 23-27,8,31,0,1,1,14,0,4.5
 Devontae Booker,11,at MIN,L 23-27,1,4,0,2,0,0,0,0.4
 Phillip Lindsay,12,at BUF,L 3-20,13,57,0,3,1,11,0,6.8
 Royce Freeman,12,at BUF,L 3-20,2,20,0,2,2,9,0,2.9
 Phillip Lindsay,13,LAC,W 23-20,17,58,0,3,3,4,0,6.2
 Royce Freeman,13,LAC,W 23-20,5,11,0,4,4,13,0,2.4
 Phillip Lindsay,14,at HOU,W 38-24,16,51,1,2,2,4,0,11.5
 Royce Freeman,14,at HOU,W 38-24,8,24,0,2,2,8,1,9.2
 Devontae Booker,14,at HOU,W 38-24,0,0,0,2,2,24,0,2.4
 Phillip Lindsay,15,at KC,L 3-23,7,32,0,2,0,0,0,3.2
 Royce Freeman,15,at KC,L 3-23,5,12,0,4,4,14,0,2.6
 Devontae Booker,15,at KC,L 3-23,1,5,0,0,0,0,0,0.5
 Phillip Lindsay,16,DET,W 27-17,19,109,1,3,2,9,0,17.8
 Royce Freeman,16,DET,W 27-17,9,28,1,2,2,9,0,9.7
 Devontae Booker,16,DET,W 27-17,0,0,0,2,1,2,0,0.2
 Phillip Lindsay,17,LV,W 16-15,18,53,0,1,0,0,0,5.3
 Devontae Booker,17,LV,W 16-15,0,0,0,2,2,17,0,1.7
 Royce Freeman,17,LV,W 16-15,2,-4,0,1,1,8,0,0.4
 Malcolm Brown,1,at CAR,W 30-27,11,53,2,0,0,0,0,17.3
 Todd Gurley,1,at CAR,W 30-27,14,97,0,1,1,4,0,10.1
 Darrell Henderson,1,at CAR,W 30-27,1,0,0,0,0,0,0,0.0
 Todd Gurley,2,NO,W 27-9,16,63,1,4,3,4,0,12.7
 Malcolm Brown,2,NO,W 27-9,6,37,0,1,1,10,0,4.7
 Todd Gurley,3,at CLE,W 20-13,14,43,0,1,0,0,0,4.3
 Malcolm Brown,3,at CLE,W 20-13,3,7,0,1,0,0,0,0.7
 Todd Gurley,4,TB,L 40-55,5,16,2,11,7,54,0,19.0
 Malcolm Brown,4,TB,L 40-55,5,14,0,1,0,0,0,1.4
 Todd Gurley,5,at SEA,L 29-30,15,51,2,5,3,6,0,17.7
 Malcolm Brown,5,at SEA,L 29-30,1,3,0,0,0,0,0,0.3
 Darrell Henderson,6,SF,L 7-20,6,39,0,2,1,9,0,4.8
 Malcolm Brown,6,SF,L 7-20,11,40,0,0,0,0,0,4.0
 Todd Gurley,7,at ATL,W 37-10,18,41,0,1,1,13,1,11.4
 Darrell Henderson,7,at ATL,W 37-10,11,31,0,1,1,8,0,3.9
 John Kelly,7,at ATL,W 37-10,3,9,0,0,0,0,0,0.9
 Todd Gurley,8,CIN,W 24-10,10,44,1,1,0,0,0,10.4
 Darrell Henderson,8,CIN,W 24-10,11,49,0,3,2,20,0,6.9
 Todd Gurley,10,at PIT,L 12-17,12,73,0,4,0,0,0,7.3
 Malcolm Brown,10,at PIT,L 12-17,5,10,0,0,0,0,0,1.0
 Darrell Henderson,10,at PIT,L 12-17,4,4,0,0,0,0,0,0.4
 Todd Gurley,11,CHI,W 17-7,25,97,1,3,3,36,0,19.3
 Malcolm Brown,11,CHI,W 17-7,5,15,1,0,0,0,0,7.5
 Todd Gurley,12,BAL,L 6-45,6,22,0,3,3,-3,0,1.9
 Malcolm Brown,12,BAL,L 6-45,1,0,0,0,0,0,0,0.0
 Todd Gurley,13,at ARI,W 34-7,19,95,1,1,1,20,0,17.5
 Malcolm Brown,13,at ARI,W 34-7,6,30,0,1,0,0,0,3.0
 Darrell Henderson,13,at ARI,W 34-7,4,17,0,0,0,0,0,1.7
 Todd Gurley,14,SEA,W 28-12,23,79,1,4,4,34,0,17.3
 Malcolm Brown,14,SEA,W 28-12,5,21,1,0,0,0,0,8.1
 Todd Gurley,15,at DAL,L 21-44,11,20,1,6,3,18,1,15.8
 Todd Gurley,16,at SF,L 31-34,15,48,2,2,0,0,0,16.8
 Darrell Henderson,16,at SF,L 31-34,2,7,0,0,0,0,0,0.7
 Malcolm Brown,16,at SF,L 31-34,1,-1,0,1,0,0,0,-0.1
 Malcolm Brown,17,ARI,W 31-24,9,26,1,1,1,6,0,9.2
 Todd Gurley,17,ARI,W 31-24,20,68,0,2,2,21,0,8.9
 Duke Johnson,1,at NO,L 28-30,9,57,0,5,4,33,0,9.0
 Carlos Hyde,1,at NO,L 28-30,10,83,0,1,1,2,0,8.5
 Carlos Hyde,2,JAC,W 13-12,20,90,0,0,0,0,0,9.0
 Duke Johnson,2,JAC,W 13-12,6,31,0,1,0,0,0,3.1
 Carlos Hyde,3,at LAC,W 27-20,10,19,1,0,0,0,0,7.9
 Duke Johnson,3,at LAC,W 27-20,2,2,0,3,2,22,0,2.4
 Duke Johnson,4,CAR,L 10-16,6,56,0,3,2,22,0,7.8
 Carlos Hyde,4,CAR,L 10-16,12,58,0,5,4,6,0,6.4
 Carlos Hyde,5,ATL,W 53-32,21,60,1,1,0,0,0,12.0
 Duke Johnson,5,ATL,W 53-32,9,59,0,1,1,8,0,6.7
 Carlos Hyde,6,at KC,W 31-24,26,116,1,1,1,14,0,19.0
 Duke Johnson,6,at KC,W 31-24,5,34,0,4,2,20,1,11.4
 Duke Johnson,7,at IND,L 23-30,7,34,0,5,2,22,0,5.6
 Carlos Hyde,7,at IND,L 23-30,12,35,0,1,0,0,0,3.5
 Duke Johnson,8,LV,W 27-24,3,1,0,5,4,33,1,9.4
 Carlos Hyde,8,LV,W 27-24,19,83,0,1,0,0,0,8.3
 Carlos Hyde,9,at JAC,W 26-3,19,160,0,0,0,0,0,16.0
 Duke Johnson,9,at JAC,W 26-3,7,13,1,5,5,68,0,14.1
 Carlos Hyde,11,at BAL,L 7-41,9,65,1,1,0,0,0,12.5
 Duke Johnson,11,at BAL,L 7-41,6,40,0,2,2,4,0,4.4
 Buddy Howell,11,at BAL,L 7-41,2,5,0,0,0,0,0,0.5
 Carlos Hyde,12,IND,W 20-17,16,67,0,0,0,0,0,6.7
 Duke Johnson,12,IND,W 20-17,5,22,0,1,1,8,0,3.0
 Duke Johnson,13,NE,W 28-22,9,36,0,6,5,54,1,15.0
 Carlos Hyde,13,NE,W 28-22,10,17,0,1,1,5,0,2.2
 Carlos Hyde,14,DEN,L 24-38,14,73,0,3,2,5,0,7.8
 Duke Johnson,14,DEN,L 24-38,1,5,0,8,6,40,0,4.5
 Carlos Hyde,15,at TEN,W 24-21,26,104,1,0,0,0,0,16.4
 Duke Johnson,15,at TEN,W 24-21,2,4,0,3,2,19,0,2.3
 Carlos Hyde,16,at TB,W 23-20,17,27,1,1,1,10,0,9.7
 Duke Johnson,16,at TB,W 23-20,2,4,0,4,1,12,0,1.6
 Duke Johnson,17,TEN,L 14-35,4,12,1,6,5,45,0,11.7
 Taiwan Jones,17,TEN,L 14-35,9,40,0,1,1,9,0,4.9
 Carlos Hyde,17,TEN,L 14-35,4,13,0,0,0,0,0,1.3
 Buddy Howell,17,TEN,L 14-35,3,5,0,0,0,0,0,0.5
Ito Smith,1,at MIN,L 12-28,6,31,0,1,1,9,0,4.0
 Devonta Freeman,1,at MIN,L 12-28,8,19,0,4,3,12,0,3.1
 Devonta Freeman,2,PHI,W 24-20,11,22,0,4,3,42,0,6.4
 Ito Smith,2,PHI,W 24-20,4,32,0,3,2,13,0,4.5
 Devonta Freeman,3,at IND,L 24-27,16,88,0,4,3,7,0,9.5
 Kenjon Barner,3,at IND,L 24-27,0,0,0,1,1,4,0,0.4
 Ito Smith,3,at IND,L 24-27,1,0,0,0,0,0,0,0.0
 Devonta Freeman,4,TEN,L 10-24,12,28,0,9,8,72,0,10.0
 Ito Smith,4,TEN,L 10-24,2,11,1,4,2,20,0,9.1
 Devonta Freeman,5,at HOU,L 32-53,11,30,0,5,5,40,1,13.0
 Ito Smith,5,at HOU,L 32-53,5,19,0,6,6,45,0,6.4
 Devonta Freeman,6,at ARI,L 33-34,19,88,0,3,3,30,2,23.8
 Ito Smith,6,at ARI,L 33-34,3,6,0,0,0,0,0,0.6
 Keith Smith,6,at ARI,L 33-34,1,2,0,0,0,0,0,0.2
 Devonta Freeman,7,LAR,L 10-37,7,19,0,3,2,6,0,2.5
 Brian Hill,7,LAR,L 10-37,5,11,0,2,2,14,0,2.5
 Ito Smith,7,LAR,L 10-37,1,7,0,0,0,0,0,0.7
 Keith Smith,7,LAR,L 10-37,0,0,0,1,0,0,0,0.0
 Kenjon Barner,7,LAR,L 10-37,0,0,0,1,0,0,0,0.0
 Devonta Freeman,8,SEA,L 20-27,13,39,0,8,8,63,0,10.2
 Brian Hill,8,SEA,L 20-27,3,29,1,0,0,0,0,8.9
 Kenjon Barner,8,SEA,L 20-27,1,1,0,0,0,0,0,0.1
 Brian Hill,10,at NO,W 26-9,20,61,0,2,1,10,1,13.1
 Devonta Freeman,10,at NO,W 26-9,10,38,0,4,3,10,0,4.8
 Kenjon Barner,10,at NO,W 26-9,1,12,0,0,0,0,0,1.2
 Qadree Ollison,11,at CAR,W 29-3,4,11,1,1,0,0,0,7.1
 Brian Hill,11,at CAR,W 29-3,15,30,0,3,1,8,0,3.8
 Kenjon Barner,11,at CAR,W 29-3,2,15,0,0,0,0,0,1.5
 Keith Smith,11,at CAR,W 29-3,1,3,0,0,0,0,0,0.3
 Qadree Ollison,12,TB,L 22-35,8,20,1,1,1,7,0,8.7
 Brian Hill,12,TB,L 22-35,9,14,0,4,3,13,0,2.7
 Kenjon Barner,12,TB,L 22-35,0,0,0,2,2,8,0,0.8
 Devonta Freeman,13,NO,L 18-26,17,51,0,5,4,13,0,6.4
 Brian Hill,13,NO,L 18-26,4,13,0,3,3,24,0,3.7
 Kenjon Barner,13,NO,L 18-26,0,0,0,2,2,6,0,0.6
 Keith Smith,13,NO,L 18-26,2,4,0,1,0,0,0,0.4
 Devonta Freeman,14,CAR,W 40-20,17,84,1,4,4,10,0,15.4
 Brian Hill,14,CAR,W 40-20,9,62,1,0,0,0,0,12.2
 Qadree Ollison,14,CAR,W 40-20,4,6,0,0,0,0,0,0.6
 Qadree Ollison,15,at SF,W 29-22,1,1,1,0,0,0,0,6.1
 Devonta Freeman,15,at SF,W 29-22,12,39,0,3,2,16,0,5.5
 Brian Hill,15,at SF,W 29-22,1,16,0,0,0,0,0,1.6
 Kenjon Barner,15,at SF,W 29-22,0,0,0,2,1,4,0,0.4
 Devonta Freeman,16,JAC,W 24-12,13,53,1,10,9,74,1,24.7
 Brian Hill,16,JAC,W 24-12,7,66,0,0,0,0,0,6.6
 Qadree Ollison,16,JAC,W 24-12,1,3,1,0,0,0,0,6.3
 Keith Smith,16,JAC,W 24-12,0,0,0,1,1,13,0,1.3
 Devonta Freeman,17,at TB,W 28-22,18,58,0,4,2,15,0,7.3
 Brian Hill,17,at TB,W 28-22,5,21,0,0,0,0,0,2.1
 Qadree Ollison,17,at TB,W 28-22,4,9,0,0,0,0,0,0.9
 Keith Smith,17,at TB,W 28-22,1,-1,0,0,0,0,0,-0.1
 James Conner,1,at NE,L 3-33,10,21,0,4,4,44,0,6.5
 Jaylen Samuels,1,at NE,L 3-33,2,4,0,2,1,2,0,0.6
 James Conner,2,SEA,L 26-28,11,33,1,4,3,12,0,10.5
 Jaylen Samuels,2,SEA,L 26-28,3,18,0,1,1,13,0,3.1
 Benny Snell,2,SEA,L 26-28,1,23,0,0,0,0,0,2.3
 James Conner,3,at SF,L 20-24,13,43,0,4,4,14,0,5.7
 Benny Snell,3,at SF,L 20-24,3,6,0,0,0,0,0,0.6
 James Conner,4,CIN,W 27-3,10,42,0,8,8,83,1,18.5
 Jaylen Samuels,4,CIN,W 27-3,10,26,1,8,8,57,0,14.3
 Benny Snell,4,CIN,W 27-3,2,1,0,1,0,0,0,0.1
 James Conner,5,BAL,L 23-26,14,55,1,0,0,0,0,11.5
 Jaylen Samuels,5,BAL,L 23-26,3,2,0,4,3,11,0,1.3
 James Conner,6,at LAC,W 24-17,16,41,1,7,7,78,1,23.9
 Benny Snell,6,at LAC,W 24-17,17,75,0,1,1,14,0,8.9
 James Conner,8,MIA,W 27-14,23,145,1,4,3,5,0,21.0
 Benny Snell,8,MIA,W 27-14,5,13,0,0,0,0,0,1.3
 Roosevelt Nix,8,MIA,W 27-14,0,0,0,2,2,4,0,0.4
 Trey Edmunds,8,MIA,W 27-14,1,0,0,0,0,0,0,0.0
 Jaylen Samuels,9,IND,W 26-24,8,10,0,13,13,73,0,8.3
 Trey Edmunds,9,IND,W 26-24,12,73,0,0,0,0,0,7.3
 Roosevelt Nix,9,IND,W 26-24,0,0,0,1,0,0,0,0.0
 Tony Brooks-James,9,IND,W 26-24,1,0,0,0,0,0,0,0.0
 Jaylen Samuels,10,LAR,W 17-12,14,29,0,7,3,11,0,4.0
 Trey Edmunds,10,LAR,W 17-12,4,1,0,3,2,14,0,1.5
 Tony Brooks-James,10,LAR,W 17-12,6,11,0,0,0,0,0,1.1
 Jaylen Samuels,11,at CLE,L 7-21,5,26,0,6,5,19,1,10.5
 Trey Edmunds,11,at CLE,L 7-21,3,11,0,3,3,27,0,3.8
 James Conner,11,at CLE,L 7-21,5,10,0,2,1,6,0,1.6
 Tony Brooks-James,11,at CLE,L 7-21,1,-4,0,0,0,0,0,-0.4
 Benny Snell,12,at CIN,W 16-10,21,98,0,1,1,5,0,10.3
 Kerrith Whyte,12,at CIN,W 16-10,6,43,0,0,0,0,0,4.3
 Jaylen Samuels,12,at CIN,W 16-10,2,6,0,3,3,26,0,3.2
 Trey Edmunds,12,at CIN,W 16-10,2,7,0,0,0,0,0,0.7
 Benny Snell,13,CLE,W 20-13,16,63,1,1,1,4,0,12.7
 Jaylen Samuels,13,CLE,W 20-13,7,32,0,2,2,22,0,5.4
 Kerrith Whyte,13,CLE,W 20-13,3,10,0,0,0,0,0,1.0
 Kerrith Whyte,14,at ARI,W 23-17,5,41,0,1,1,9,0,5.0
 Benny Snell,14,at ARI,W 23-17,16,41,0,0,0,0,0,4.1
 Jaylen Samuels,14,at ARI,W 23-17,7,16,0,2,2,18,0,3.4
 Trey Edmunds,14,at ARI,W 23-17,0,0,0,1,1,7,0,0.7
 James Conner,15,BUF,L 10-17,8,42,0,5,4,9,1,11.1
 Kerrith Whyte,15,BUF,L 10-17,1,5,0,0,0,0,0,0.5
 Jaylen Samuels,15,BUF,L 10-17,2,-1,0,1,1,5,0,0.4
 Benny Snell,15,BUF,L 10-17,2,1,0,0,0,0,0,0.1
 Jaylen Samuels,16,at NYJ,L 10-16,3,7,0,6,4,32,0,3.9
 James Conner,16,at NYJ,L 10-16,6,32,0,0,0,0,0,3.2
 Kerrith Whyte,16,at NYJ,L 10-16,6,22,0,0,0,0,0,2.2
 Benny Snell,16,at NYJ,L 10-16,7,14,0,0,0,0,0,1.4
 Benny Snell,17,at BAL,L 10-28,18,91,1,0,0,0,0,15.1
 Jaylen Samuels,17,at BAL,L 10-28,0,0,0,2,1,16,0,1.6
 Kerrith Whyte,17,at BAL,L 10-28,3,1,0,0,0,0,0,0.1
 Saquon Barkley,1,at DAL,L 17-35,11,120,0,6,4,19,0,13.9
 Wayne Gallman,1,at DAL,L 17-35,2,17,1,3,3,24,0,10.1
 Elijhaa Penny,1,at DAL,L 17-35,2,3,0,0,0,0,0,0.3
 Saquon Barkley,2,BUF,L 14-28,18,107,1,7,3,28,0,19.5
 Wayne Gallman,2,BUF,L 14-28,0,0,0,1,0,0,0,0.0
 Saquon Barkley,3,at TB,W 32-31,8,10,0,5,4,27,0,3.7
 Wayne Gallman,3,at TB,W 32-31,5,13,0,0,0,0,0,1.3
 Wayne Gallman,4,WAS,W 24-3,18,63,1,7,6,55,1,23.8
 Jonathan Hilliman,4,WAS,W 24-3,10,33,0,0,0,0,0,3.3
 Elijhaa Penny,4,WAS,W 24-3,3,12,0,0,0,0,0,1.2
 Elijhaa Penny,5,MIN,L 10-28,3,15,0,1,1,9,0,2.4
 Jonathan Hilliman,5,MIN,L 10-28,9,20,0,2,1,4,0,2.4
 Wayne Gallman,5,MIN,L 10-28,2,14,0,0,0,0,0,1.4
 Jonathan Hilliman,6,at NE,L 14-35,11,38,0,2,2,-3,0,3.5
 Elijhaa Penny,6,at NE,L 14-35,3,6,0,2,1,0,0,0.6
 Saquon Barkley,7,ARI,L 21-27,18,72,1,5,3,8,0,14.0
 Saquon Barkley,8,at DET,L 26-31,19,64,0,10,8,79,1,20.3
 Wayne Gallman,8,at DET,L 26-31,0,0,0,1,1,20,0,2.0
 Elijhaa Penny,8,at DET,L 26-31,1,3,0,0,0,0,0,0.3
 Saquon Barkley,9,DAL,L 18-37,14,28,0,8,6,67,0,9.5
 Wayne Gallman,9,DAL,L 18-37,0,0,0,1,0,0,0,0.0
 Saquon Barkley,10,at NYJ,L 27-34,13,1,0,5,5,30,0,3.1
 Wayne Gallman,10,at NYJ,L 27-34,1,2,0,2,1,3,0,0.5
 Saquon Barkley,12,at CHI,L 14-19,17,59,0,3,2,1,0,6.0
 Wayne Gallman,12,at CHI,L 14-19,1,1,0,0,0,0,0,0.1
 Saquon Barkley,13,GB,L 13-31,19,83,0,7,3,32,0,11.5
 Javorius Allen,13,GB,L 13-31,1,4,0,0,0,0,0,0.4
 Elijhaa Penny,13,GB,L 13-31,2,2,0,1,0,0,0,0.2
 Saquon Barkley,14,at PHI,L 17-23,17,66,0,4,3,1,0,6.7
 Saquon Barkley,15,MIA,W 36-20,24,112,2,5,4,31,0,26.3
 Javorius Allen,15,MIA,W 36-20,8,28,1,0,0,0,0,8.8
 Elijhaa Penny,15,MIA,W 36-20,1,-2,0,0,0,0,0,-0.2
 Saquon Barkley,16,at WAS,W 41-35,22,189,1,4,4,90,1,39.9
 Saquon Barkley,17,PHI,L 17-34,17,92,1,4,3,25,0,17.7
 Javorius Allen,17,PHI,L 17-34,1,4,0,2,1,9,0,1.3
 Chris Thompson,1,at PHI,L 27-32,3,10,0,10,7,68,0,7.8
 Derrius Guice,1,at PHI,L 27-32,10,18,0,3,3,20,0,3.8
 Adrian Peterson,2,DAL,L 21-31,10,25,1,2,2,7,0,9.2
 Chris Thompson,2,DAL,L 21-31,2,3,0,8,5,48,0,5.1
 Wendell Smallwood,2,DAL,L 21-31,1,4,0,2,2,9,0,1.3
 Chris Thompson,3,CHI,L 15-31,7,29,0,5,4,79,0,10.8
 Adrian Peterson,3,CHI,L 15-31,12,37,0,3,1,-3,0,3.4
 Chris Thompson,4,at NYG,L 3-24,4,4,0,5,4,56,0,6.0
 Adrian Peterson,4,at NYG,L 3-24,11,28,0,0,0,0,0,2.8
 Wendell Smallwood,4,at NYG,L 3-24,0,0,0,1,1,14,0,1.4
 Chris Thompson,5,NE,L 7-33,4,21,0,7,5,17,0,3.8
 Wendell Smallwood,5,NE,L 7-33,6,27,0,0,0,0,0,2.7
 Adrian Peterson,5,NE,L 7-33,7,18,0,0,0,0,0,1.8
 Adrian Peterson,6,at MIA,W 17-16,23,118,0,2,2,18,0,13.6
 Chris Thompson,6,at MIA,W 17-16,3,12,0,3,2,8,0,2.0
 Wendell Smallwood,6,at MIA,W 17-16,1,4,0,0,0,0,0,0.4
 Adrian Peterson,7,SF,L 0-9,20,81,0,0,0,0,0,8.1
 Wendell Smallwood,7,SF,L 0-9,5,23,0,1,1,18,0,4.1
 Adrian Peterson,8,at MIN,L 9-19,14,76,0,2,2,27,0,10.3
 Wendell Smallwood,8,at MIN,L 9-19,2,9,0,2,1,11,0,2.0
 Adrian Peterson,9,at BUF,L 9-24,18,108,0,1,1,22,0,13.0
 Wendell Smallwood,9,at BUF,L 9-24,2,5,0,3,2,-2,0,0.3
